ASX Code,Last 16 Closes,Change (%),Stdev (%),Last 20 Closes,Last 15 Closes,Last 19 Closes,Last 14 Closes,Last 3 Closes
CST,,17.19%,7.98%,"[0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.07, 0.07, 0.08, 0.08, 0.08, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.08]",,,,
CDT,,0.0%,17.26%,,,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,
CTN,,-33.33%,13.73%,,,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,
CYL,,23.5%,11.47%,"[4.68, 4.11, 4.35, 4.41, 4.64, 4.65, 4.64, 4.6, 4.6, 4.6, 4.6, 4.91, 5.03, 5.38, 5.51, 5.78, 5.9, 5.72, 5.75, 5.78]",,,,
CAT,,-16.28%,3.83%,"[3.93, 3.43, 3.53, 3.45, 3.49, 3.56, 3.48, 3.47, 3.51, 3.51, 3.6, 3.59, 3.63, 3.45, 3.52, 3.46, 3.36, 3.41, 3.32, 3.29]",,,,
CXU,,11.11%,8.48%,"[0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01]",,,,
CVR,,11.43%,7.92%,"[0.17, 0.19, 0.2, 0.17, 0.17, 0.17, 0.21, 0.21, 0.21, 0.2, 0.21, 0.2, 0.21, 0.21, 0.19, 0.17, 0.19, 0.19, 0.17, 0.19]",,,,
CAZ,,15.38%,11.97%,,,"[0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.02, 0.02, 0.01, 0.01, 0.01, 0.02, 0.01, 0.01]",,
CD1,,0.0%,2.09%,,,"[0.55, 0.56, 0.56, 0.57, 0.56, 0.56, 0.56, 0.55, 0.57, 0.56, 0.56, 0.55, 0.55, 0.55, 0.54, 0.54, 0.54, 0.53, 0.55]",,
CD2,,0.0%,2.27%,,,"[0.83, 0.83, 0.79, 0.81, 0.81, 0.81, 0.81, 0.81, 0.81, 0.85, 0.85, 0.81, 0.81, 0.81, 0.81, 0.85, 0.85, 0.83, 0.83]",,
CD3,,-7.0%,2.46%,"[1.22, 1.23, 1.2, 1.17, 1.18, 1.24, 1.2, 1.16, 1.15, 1.19, 1.19, 1.19, 1.16, 1.18, 1.18, 1.19, 1.16, 1.15, 1.12, 1.13]",,,,
CWP,,-0.76%,0.8%,"[5.19, 5.18, 5.19, 5.1, 5.1, 5.19, 5.1, 5.1, 5.17, 5.17, 5.09, 5.15, 5.08, 5.07, 5.15, 5.19, 5.15, 5.1, 5.16, 5.15]",,,,
CLA,,-33.33%,13.41%,"[0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.0, 0.01, 0.01]",,,,
CTM,,-11.54%,4.42%,"[0.39, 0.4, 0.37, 0.38, 0.38, 0.38, 0.38, 0.38, 0.38, 0.37, 0.35, 0.37, 0.37, 0.37, 0.35, 0.36, 0.35, 0.35, 0.34, 0.34]",,,,
